"codigo","mensaje","id","idasientopre"
"A","Terminación de cuentas empleado (subcuenta 465)","1","1"
"B","Terminación de cuentas común (otras subcuentas)","12","1"
"S","Seguridad Social a cargo de la empresa","5","1"
"D","Total devengado (bruto de la nómina)","11","1"
"R","Retención IRPF","10","1"
"L","Líquido a percibir por el trabajador","9","1"
"A","Terminación de cuentas empleado (subcuenta 465)","17","2"
"B","Terminación de cuentas banco (subcuenta 572)","19","2"
"I","Importe de la nómina a pagar","18","2"
"A","Terminación de cuentas (0 = predeterminada)","13","3"
"B","Importe de la cuota de autónomo","14","3"
"A","Terminación de cuentas (0 = predeterminada)","15","4"
"B","Importe de la cuota de autónomo","16","4"
"A","Terminación de la cuenta 4750 (0 = predeterminada)","20","5"
"B","Importe del IVA a pagar","21","5"
"C","Terminación de cuentas banco (subcuenta 572)","31","5"
"A","Terminación de cuentas (0 = predeterminada)","28","6"
"B","Importe de la retención IRPF a pagar","22","6"
"C","Terminación de cuentas banco (subcuenta 572)","32","6"
"A","Terminación de cuentas (0 = predeterminada)","29","7"
"B","Importe de otras retenciones a pagar","24","7"
"C","Terminación de cuentas banco (subcuenta 572)","33","7"
"A","Terminación de cuentas (0 = predeterminada)","30","8"
"B","Importe de los módulos a pagar","26","8"
"C","Terminación de cuentas banco (subcuenta 572)","34","8"
